serial_number,ph_action_number,ph_action_code,cm_sys_dt,ph_action_date,last_modified_date,oracle_apply_time,cm_prcd_num,ri_notif_dt,cm_desc,fifth_char_cm_type,cm_flg_paper,ttab_tracking_num,tm_worker_eid,create_ts,create_user_id,update_ts,update_user_id
73414373,19,ASCK,null,2006-09-27,2006-09-27T00:00:00.000Z,null,0,null,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73416491,17,ASCK,2012-12-12,2012-12-12,2012-12-12T23:31:50.000Z,null,0,null,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73437676,4,CNSA,null,1984-04-16,1984-04-16T00:00:00.000Z,null,0,null,APPROVED FOR PUB - PRINCIPAL REGISTER,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73449655,7,CNFR,null,1985-03-28,1985-03-28T00:00:00.000Z,null,0,null,FINAL REFUSAL MAILED,O,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73465722,5,NPUB,null,1984-12-06,1984-12-06T00:00:00.000Z,null,0,null,NOTICE OF PUBLICATION,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73474441,2,CNRT,null,1984-07-24,1984-07-24T00:00:00.000Z,null,0,null,NON-FINAL ACTION MAILED,F,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73516869,9,C8..,null,1993-03-01,1993-03-01T00:00:00.000Z,null,0,null,CANCELLED SEC. 8 (6-YR),O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73551998,5,CNSA,null,1986-10-03,1986-10-03T00:00:00.000Z,null,0,null,APPROVED FOR PUB - PRINCIPAL REGISTER,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73561498,18,ASCK,2010-10-27,2010-10-27,2010-10-27T23:32:06.000Z,null,0,null,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73565850,2,CRFA,null,1986-03-13,1986-03-13T00:00:00.000Z,null,0,null,CORRESPONDENCE RECEIVED IN LAW OFFICE,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73569724,3,CNEA,null,1986-07-18,1986-07-18T00:00:00.000Z,null,0,null,EXAMINERS AMENDMENT MAILED,O,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73569853,22,RNL2,2016-06-25,2016-06-25,2016-06-25T16:04:27.000Z,null,67603,null,REGISTERED AND RENEWED (SECOND RENEWAL - 10 YRS),Q,0,null,67603,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
